A1_Consent,A3_Serial_Number,B1_District_Name,B2_Upazila_Name,B4_Ward_number,B7_Survey_phase,C2_Gender,C3_Age,C4_Number_members_in_house,C4.1 Total_Male,C4.2 Total Female,C_Houseowner_Education,C6_Houseowner_Occupation,Others_occupation,C7_collect_drinking_water_yesterday,C7.1_containers,C7.1_containers_25Liter,C7.1_containers_20 Liter,C7.1_containers_15 Liter,C7.1_containers_10 Liter,C7.1_containers_5 Liter,C7.1_containers_Other,Containers_Other2,C7.1.a_number_25L_filled,C7.1.b_number_20L_filled,C7.1.c_number_15L_filled,C7.1.d_number_10L_filled,C7.1.e_number_5L_filled,C7.1.f_number_other_filled,other_containers,C8_primary_drinking_water_source,C9_charity_water_funded,C9.1_Why_don't_use_source,C9.1_Why_don't_use_source_too_far,C9.1_Why_don't_use_source_don't_want_pay,C9.1_Why_don't_use_source_don't_like_taste,C9.1_Why_don't_use_source_Long_lines,C9.1__Why_don't_use_source_broken,C9.1_Why_don't_use_source_no_answer,C9.1_Why_don't_use_source_don’t_know,C9.1_Why_don't_use_source_Other,other_source,C10_minutes_to_walk_to_source,C11_minutes_wait_time,calculation-WA-5 (median val),C12_source_sometimes_dry,C13_past_year_management_turned_off,C13.1_were_you_told,C14_satisfied,C14.1_Why_not_satisfied,C14.1_why_not_satisfied_Long_lines,C14.1_why_not_satisfied_expensive,C14.1_why_not_satisfied_tastes,C14.1_why_not_satisfied_far,C14.1_why_not_satisfied_broken,C14.1_why_not_satisfied_bad_smell_color,C14.1_why_not_satisfied_Other,other_not_satisfied,C15_adults_defecate,C15_adults_defecate_Latrine_toilet,C15_adults_defecate_open,C15_adults_defecate_water,C15_adults_defecate_no_answer,C15_adults_defecate_Don't_Know,C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish],C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/Latrine/toilet,C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/Potty,C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/In the open/no sanitation facilities,C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/In water body – river or lake,"C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/Not applicable, no one between the ages of 3-17 lives in this household",C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/Decline to state,C16 Where are the places that children over 3 in this household go to defecate [Mark all that apply and probe to ask “is there any other place” until they finish]/Don't Know,C17 How is feces from children under 3 in this household disposed of?,Other (please specify),C18 Can I see the toilet facility that you use?,C19.1 What type of sanitation facility is it?,C19.2 Where does it flush to?,C19.3 Is there enough water present to flush the toilet?,C19.4 What is the condition of the floor?,"C19.5  How well does this latrine superstructure (walls, door) provide privacy?",C19.6  Is the pit full? (within 0.5 meters of the top),"C19.7 Is the user able to access the latrine right now (it is not locked, or they can open it)?",C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply],C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After defecation,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After cleaning or changing a baby,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before food preparation,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/ Before eating,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before feeding child,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before praying,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After working in the dirt,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Other (please specify),C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Decline to state,C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Don't Know,Please specify others.,ff,C21 Can you please show me where and how you usually wash your hands?,"C21.1  Does the respondent use soap, ash, or another cleanser?",C21.2 Does respondent use water to wash their hands?,C22. Are you a member of any WASH related group?,"C22.1 If yes, which group?","C22.1 If yes, which group?/Water User Group","C22.1 If yes, which group?/Water User Committee","C22.1 If yes, which group?/Health Village Group","C22.1 If yes, which group?/School brigade cabinet","C22.1 If yes, which group?/CBO/CSO","C22.1 If yes, which group?/Others (specify)",Others (specify),"C23. In last year, did you participate in any group meetings for WASH-related consultation and decision-making processes?","C23.1  If yes, what was it for?",C24. Do you know someone who can quickly repair [specify the water source] if required?,C24.1  Is the repairer usually able to secure all the spare parts required for the repair?,"C24.2 If the [specify the water source] needs only smaller repair, are you able to pay its costs?","C24.3 If the [specify the water source] needs more expensive repair, are you able to ensure it either by using your own money or by ensuring that relevant authorities conduct the repair?",D1  Type of follow-up monitoring,"D2 In the last 4 weeks, how frequently did you worry you would not have enough water for all of your household needs?","D3 In the last 4 weeks, how frequently did you feel angry or frustrated about your water situation?","D4 In the last 4 weeks, how frequently has your household water supply from your main water source been interrupted or limited (e.g. water pressure, less water than expected, source dried up)?","D5 In the last 4 weeks, how frequently has there not been enough water in the household to wash clothes?","D6 In the last 4 weeks, how frequently has you or anyone in your household had to change schedules/plans due to problems with your water situation, such as problems getting or distributing water within the household? Activities that may have been interrupted include caring for others, doing household chores, agricultural work, income-generating activities, etc.","D7 In the last 4 weeks, how frequently have you or anyone in your household had to change what was being eaten because there were problems with water (e.g. for washing foods, cooking, etc.)?","D8 In the last 4 weeks, how frequently have you or anyone in your household had to go without washing hands after dirty activities (e.g. defecating, changing diapers, cleaning animal dung) because of problems with water?","D9 In the last 4 weeks, how frequently have you or anyone in your household had to go without washing their body because of problems with water (e.g. not enough water, dirty, unsafe)?","D10 In the last 4 weeks, how frequently has there not been as much water to drink as you would like for you or members of your household?","D11 In the last 4 weeks, how frequently have you or anyone in your household gone to sleep thirsty because there wasn't any water to drink?","D12 In the last 4 weeks, how frequently have you had no useable or drinkable water whatsoever in your household?","D13 In the last 4 weeks, how frequently have problems with water caused you or anyone in your household to feel ashamed/excluded/stigmatized?"
Yes,9,Bagerhat,Morrelganj,4,Baseline,Female,37,7,4,3,Primary Education,Shopkeeper,NA,Yes,5 Liter,0,0,0,0,1,0,NA,NA,NA,NA,NA,2,NA,NA,Borehole with handpump,No,Other (please specify),0,0,0,0,0,0,0,1,N/A,2,1,5,No,No,NA,Not Satisfied,"Water tastes bad Water has a bad smell, color, or quality",0,0,1,0,0,1,0,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,"Not applicable, no one under 3 lives in this household",NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers full privacy (has walls and a door ),Yes,Yes,After defecation  Before food preparation  Before eating Before feeding child Before praying After working in the dirt,1,0,1,1,1,1,1,0,0,0,NA,4,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Sometimes (3–10 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Yes,9,Bagerhat,Morrelganj,4,Baseline,Female,50,7,4,3,Primary Education,Day Labour,NA,Yes,5 Liter,0,0,0,0,1,0,NA,NA,NA,NA,NA,2,NA,NA,"Surface water (river, dam, lake, pond, stream, canal, irrigation channels)",No,Other (please specify),0,0,0,0,0,0,0,1,N/A,45,2,92,Yes,No,NA,Not Satisfied,"Water tastes bad It is too far away Water has a bad smell, color, or quality",0,0,1,1,0,1,0,NA,Latrine/toilet,1,0,0,0,0,"Not applicable, no one between the ages of 3-17 lives in this household",0,0,0,0,1,0,0,It is put or rinsed into latrine,NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers some privacy (has walls but no door),Yes,Yes,After defecation  Before food preparation  Before eating Before feeding child Before praying After working in the dirt,1,0,1,1,1,1,1,0,0,0,NA,4,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Always (More than 20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Often (10-20 times in last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Never
Yes,10,Bagerhat,Morrelganj,9,Baseline,Female,44,2,1,1,Non-Literate,Day Labour,NA,Yes,10 Liter,0,0,0,1,0,0,NA,NA,NA,NA,1,NA,NA,NA,Mechanized borehole,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,80,No,No,NA,Not Satisfied,It is too far away Long lines,1,0,0,1,0,0,0,NA,Latrine/toilet,1,0,0,0,0,"Not applicable, no one between the ages of 3-17 lives in this household",0,0,0,0,1,0,0,"Not applicable, no one under 3 lives in this household",NA,"Yes, shows facility",Pit latrine,NA,NA,Bad ( dangeraous to stand on),Offers little to no privacy (very poor quality),Yes,Yes,After defecation  Before food preparation  Before eating Before praying After working in the dirt,1,0,1,1,0,1,1,0,0,0,NA,3,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Never,Never,Never,Never,Never,Never,Never
Yes,11,Bagerhat,Morrelganj,4,Baseline,Female,30,5,3,2,Higher Secondary Education,Business,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainwater collection,No,Other (please specify),0,0,0,0,0,0,0,1,N/A,5,5,15,Yes,No,NA,Not Satisfied,Other (please specify),0,0,0,0,0,0,1,Insufficient water,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,It is put or rinsed into latrine,NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers full privacy (has walls and a door ),Yes,Yes,Before eating Before food preparation After defecation  After working in the dirt Before feeding child,1,0,1,1,1,0,1,0,0,0,NA,4,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Always (More than 20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Never,Often (10-20 times in last 4 weeks),Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Never
Yes,11,Bagerhat,Morrelganj,4,Baseline,Female,65,7,4,3,Primary Education,Others (Please Specify),"N/A
",Yes,20 Liter,0,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,Borehole with handpump,No,Other (please specify),0,0,0,0,0,0,0,1,N/A,15,15,45,No,No,NA,Not Satisfied,It is too far away,0,0,0,1,0,0,0,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,"Not applicable, no one under 3 lives in this household",NA,"Yes, shows facility",Pit latrine,NA,NA,Bad ( dangeraous to stand on),Offers little to no privacy (very poor quality),Yes,Yes,After defecation  Before food preparation  Before eating Before feeding child,1,0,1,1,1,0,0,0,0,0,NA,4,Yes,Ash,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Often (10-20 times in last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Always (More than 20 times in last 4 weeks),Rarely (1–2 times in the last 4 weeks),Never,Never
Yes,11,Bagerhat,Morrelganj,4,Baseline,Female,40,4,1,3,Secondary Education,Business,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surface water (river, dam, lake, pond, stream, canal, irrigation channels)",No,Other (please specify),0,0,0,0,0,0,0,1,N/A,180,20,380,No,No,NA,Not Satisfied,It is too far away,0,0,0,1,0,0,0,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,"Not applicable, no one under 3 lives in this household",NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers full privacy (has walls and a door ),Yes,Yes,After defecation  Before food preparation  Before eating After working in the dirt Before praying,1,0,1,1,0,1,1,0,0,0,NA,3,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Yes,To aware people about pure drinking water,Yes,Yes,Yes,No,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Always (More than 20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Never,Rarely (1–2 times in the last 4 weeks),Never,Rarely (1–2 times in the last 4 weeks),Never,Never,Rarely (1–2 times in the last 4 weeks)
Yes,11,Bagerhat,Morrelganj,4,Baseline,Female,30,4,3,1,Secondary Education,Others (Please Specify),N/A,Yes,Other (please specify),0,0,0,0,0,1,75,NA,NA,NA,NA,NA,5,5,Borehole with handpump,No,Other (please specify),0,0,0,0,0,0,0,1,"N/A
",10,15,35,No,No,NA,Not Satisfied,"Water has a bad smell, color, or quality",0,0,0,0,0,1,0,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,Child uses latrine,NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers full privacy (has walls and a door ),Yes,Yes,After defecation  Before food preparation  Before eating Before feeding child After working in the dirt Before praying,1,0,1,1,1,1,1,0,0,0,NA,4,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Rarely (1–2 times in the last 4 weeks),Often (10-20 times in last 4 weeks),Often (10-20 times in last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks)
Yes,12,Khulna,Paikgacha,1,Baseline,Female,25,13,6,7,Primary Education,Farmer,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bottled water, sachet water",No,don’t know,0,0,0,0,0,0,1,0,NA,20,20,60,No,No,NA,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,It is put or rinsed on the ground or in the open,NA,"Yes, shows facility",Pit latrine,NA,NA,"Medium (some damage, but safe to stand on)",Offers full privacy (has walls and a door ),No,No,After defecation  After cleaning or changing a baby Before food preparation  Before eating Before feeding child Before praying After working in the dirt,1,1,1,1,1,1,1,0,0,0,NA,5,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks)
Yes,12,Khulna,Paikgacha,1,Baseline,Male,47,6,2,4,Secondary Education,Farmer,NA,Yes,5 Liter,0,0,0,0,1,0,NA,NA,NA,NA,NA,2,NA,NA,Borehole with handpump,No,don’t know,0,0,0,0,0,0,1,0,NA,2,1,5,Not applicable,No,NA,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latrine/toilet,1,0,0,0,0,Latrine/toilet,1,0,0,0,0,0,0,It is put or rinsed into latrine,NA,"Yes, shows facility",Flush/pour flush,Septic Tank,Yes,Good condition (no cracks or gaps),Offers full privacy (has walls and a door ),NA,No,After defecation  After cleaning or changing a baby  Before eating Before praying After working in the dirt,1,1,0,1,0,1,1,0,0,0,NA,3,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Pani, sanitation",Yes,Yes,Yes,Yes,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks)
Yes,12,Khulna,Paikgacha,4,Baseline,Female,40,6,3,3,Primary Education,Fisher,NA,Yes,15 Liter,0,0,1,0,0,0,NA,NA,NA,2,NA,NA,NA,NA,"Bottled water, sachet water",No,don’t know,0,0,0,0,0,0,1,0,NA,30,20,80,No,Yes,Yes,Not Satisfied,Long lines It is too expensive,1,1,0,0,0,0,0,NA,Latrine/toilet,1,0,0,0,0,"Not applicable, no one between the ages of 3-17 lives in this household",0,0,0,0,1,0,0,It is put or rinsed into latrine,NA,"Yes, shows facility",Flush/pour flush,Septic Tank,Yes,Good condition (no cracks or gaps),Offers full privacy (has walls and a door ),NA,No,After defecation  After cleaning or changing a baby Before food preparation  Before eating Before feeding child Before praying After working in the dirt,1,1,1,1,1,1,1,0,0,0,NA,5,Yes,Soap,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Pani, sanitation",No,NA,NA,NA,HWISE Survey,Rarely (1–2 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Sometimes (3–10 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks),Rarely (1–2 times in the last 4 weeks)
