variable_name,description,,
A1 Are you interested in participating in this assessment?,yes/no,,
A3 Serial Number ,number 1-13,,
B1. District Name ,"Bagerhat, Khulna",,
B2. Upazila Name,"Koyra, Morrelganj, Paikgacha",,
B4  Ward number,1534,,
"B7 Select Baseline, Endline, or Post-Implementation Monitoring",baseline,,
C2 Gender of Respondent,male/female,,
C3 Age of the respondent,age,,
"C4 How many family members are there in your house? (Household means number of people living together and eating together, including you)",number,,
C4.1 Total Male,number,,
C4.2 Total Female  ,number,,
C5 Houseowner Education,"Non-Literate, Primary Education , Secondary Education , Higher Secondary Education, University",,
C6 Houseowner Occupation,,,
Others (Please Specify),,,
C7 Did anyone in your household collect drinking water yesterday?,,,
C7.1 Which containers did household members fill and bring home yesterday? ,,,
C7.1 Which containers did household members fill and bring home yesterday? /25 Liter,,,
C7.1 Which containers did household members fill and bring home yesterday? /20 Liter,,,
C7.1 Which containers did household members fill and bring home yesterday? /15 Liter,,,
C7.1 Which containers did household members fill and bring home yesterday? /10 Liter,,,
C7.1 Which containers did household members fill and bring home yesterday? /5 Liter,,,
C7.1 Which containers did household members fill and bring home yesterday? /Other (please specify),,,
Other (please specify),,,
"C7.1.a Yesterday, how many total containers of this [25 liter] size did household members fill and bring home?",,,
"C7.1.b Yesterday, how many total containers of this [20 liter] size did household members fill and bring home?",,,
"C7.1.c Yesterday, how many total containers of this [15 liter] size did household members fill and bring home?",,,
"C7.1.d Yesterday, how many total containers of this [10 liter] size did household members fill and bring home?",,,
"C7.1.e Yesterday, how many total containers of this [5 liter] size did household members fill and bring home?",,,
"C7.1.f Yesterday, how many total containers of this other size did household members fill and bring home?",,,
Please specify others. ,,,
C8 I am now going to ask you several questions about your household's primary drinking water source. Which source you consider to be your primary drinking water source ?,,,
C9 Is your primary water source [the charity: water funded water point]?  ,,,
C9.1 Why does your household not use this water source?,,,
C9.1 Why does your household not use this water source?/It is too far away,,,
C9.1 Why does your household not use this water source?/I don't want to pay,,,
C9.1 Why does your household not use this water source?/I don't like the taste of the water,,,
